"苏州
Suzhou","工业园区
Industrial Park",否 No,"私立医疗机构
Private Providers",门诊 OP,"新宁融安诊所*
SingHealth Medical & Dental @ Rong An*","口腔科、全科、内科、儿科 Dental Care, Internal Medicine, Pediatrics, General Medicine","苏州市工业园区融安街18号晋合360°生活广场111室
Room 111, JingHope 360° Lifestyle Center, 18 Rong'an Street, Suzhou Industrial Park, Suzhou","上午 10:00 至 晚上 7:00
10:00 am - 7:00 pm","上午 9:00 至 下午 5:30
9:00 am - 5:30 pm","400-820-0955 (团险 CGHB)
400-820-7553 (个险 IPMI)",,英语/English,,"只接受招商信诺客服中心的预约，每次预约都需要发会员身份确认书并由医院安排直付服务。
Only accept appointments from Cigna & CMB service center. Need COC for each visit.",
"天津
Tianjin","西青区
Xiqing District",否 No,"公立医院
Public Hospitals",门诊 OP/住院 IP,"天津中医药大学第一附属医院南院区国医堂（原特需门诊）*
First Teaching Hospital of Tianjin University of Traditional Chinese Medicine South Branch, Guo Yi Tang (VIP Department)*",针炙 Acupuncture,"天津市西青区昌凌路88号4楼
4F, 88 Changling Road, Xiqing  District, Tianjin","早上 8:00 至 11:30，下午 2:00 至 5:00
8:00 am - 11:30 am, 2:00 pm - 5:00 pm","周六：早上 8:00 至 11:30
周日急诊
Saturday: 8:00 am - 11:30 am
Sunday: Emergency","400-820-0955 (团险 CGHB)
400-820-7553 (个险 IPMI)",,,,有儿科（需提前3天预约）。Pediatrics is available. ( Please make the appointment 3 days in advance).,http://www.tjtcm.cn/
"哈尔滨
Harbin","南岗区
Nangang District",否 No,"公立医院
Public Hospitals",住院 IP,"哈尔滨医科大学附属第一医院*
First Teaching Hospital of Harbin Medical College*",,"哈尔滨市南岗区邮政街23号
23 Youzheng Street, Nangang District, Harbin","上午 8:00 至 11:30，下午 1:30 至 4:30
8:00 am - 11:30 am, 1:30 pm - 4:30 pm","休息
Closed","400-820-0955 (团险 CGHB)
400-820-7553 (个险 IPMI)",,,,"1. 择期住院的客户需自己申请担保函。 For the member who needs inpatient treatment, member needs to apply the Gurantee of Payment.
2. 请您在入院当日携带一份保险卡及护照或身份证复印件。 Please bring a photocopy of the membership card and ID card.",http://www.54dr.org.cn/
"重庆
Chongqing","渝中区
Yuzhong District",否 No,"公立医院
Public Hospitals",门诊 OP/住院 IP,"重庆医科大学附属第一医院医保办*
The First Affiliated Hospital of Chongqing Medical University*","神经内科、心血管内科、呼吸内科、内分泌科、普通外科、心胸外科、肿瘤综合科、耳鼻咽喉科、眼科 Cardiovascular, Endocrinology, Neurology, Respiratory, Cardiothoracic Surgery, General Surgery, Ophthalmology, Otolaryngology, Comprehensive Cancer","重庆市渝中区袁家岗友谊路1号1号楼1楼
1F, Building No.1, 1 Youyi Road, Yuanjiagang, Yuzhong District, Chongqing","早上 7:30 至 下午 4:30
7:30 am - 4:30 pm","休息
Closed","400-820-0955 (团险 CGHB)
400-820-7553 (个险 IPMI)",,英语/English,,请提前预约。Please make appointment in advance.,http://www.hospital-cqmu.com/
"重庆
Chongqing","经济技术开发区
Developing Economic District",否 No,"公立医院
Public Hospitals",门诊 OP/住院 IP,"重庆医科大学附属第一医院金山医院*
The First Affiliated Hospital of Chongqing Medical University, Jin Shan Hospital*",妇科、产科 Gynecology，obstetrics,"重庆市经济技术开发区鸳鸯湖39号
39 Yuanyang Lake, Developing Economic District, Chongqing","上午 8:00 至 12:00，下午 2:00 至 4:00
8:00 am - 12:00 pm, 2:00 pm - 4:00 pm","休息
Closed","400-820-0955 (团险 CGHB)
400-820-7553 (个险 IPMI)",,英语/English,,"1. VIP部门只有妇科和产科。其他科室为普通部，也可以走直付；
2. VIP部门有英语服务。
3. 普通部无预约服务， 需要当天致电确认是否有科室医生即可就诊，需排队。电话：023-88955500
4. VIP部门名为金山国际医院，普通部门名为金山医院。
5. 普通部知名专家门诊：023-88955707 ，需要提前预约。
1. Only OB/GYN is available in VIP Dept. Others department provide Direct Billing;
2. English service is available in VIP Dept.
3. For ordinary outpatient department, no appointment service. Please call 023-88955500 to make sure if ther is doctor. You need to queue up.
4. VIP Dept‘s name is Jin Shan International Hospital, while ordinary outpatient department is Jin Shan Hospital.
5. Well-know expert outpatient service, please call 023-88955707 to make sure if there is doctor.",http://hospital-cqjs.com 
"北京
Beijing","西城区
Xicheng District",否 No,"体检机构
Wellness Checkup",体检 Checkup,"美年大健康宣武门分院
Meinian Health Xuanwumen Clinic",体检中心 Physical Checkup,"北京市西城区宣武门外大街20号3层301-302整层
Room 301-302, 20 Xuanwumen Wai Street, Xicheng District, Beijing","早上 8:00 至 10:00
8:00 am - 10:00 am","周六休息
周日: 早上 8:00 至 10:00
Saturday is closed.
Sunday: 8:00 am - 10:00 am","021-22139213 (转 8308)
15000583416 (褚佳云)",,英语/English,,"1. 请您在预约时告知您是招商信诺会员，可享受招商信诺套餐。Please inform the hotline center/contact person that you are Cigna & CMB member when making appointment, so that you can enjoy Cigna & CMB package.
2.预约时间：周一至周日，中文预约早上7:30至晚上9:00，英文预约早上9:00至下午5:00。Appointment time: Monday to Sunday,7:30am to 9:00pm for Chinese service, 9:00am to 5:00pm for English service.
3. 中文服务请提前3天预约，英文服务请提前1周预约。For Chinese service, please make appointment three days in advance. For English service, please make appointment one week in advance.
自2018年7月1日起，低于或等于1000元套餐，不再免费提供英文报告。
From July 1st. 2018, the package is less than RMB1000 (include RMB1000), there will be no English report.
zhangxiuyuan.sh@meinian.cn",
"北京
Beijing","东城区
Dongcheng District",否 No,"体检机构
Wellness Checkup",体检 Checkup,"北京美兆体检中心
Beijing MJ Wellness Center",体检中心 Physical Checkup,"北京市东城区东长安街1号东方广场东二办公楼5层
5F, Second East Office Building, Oriental Plaza, 1 East Chang'an Street, Dongcheng District, Beijing","周二 至 周六 : 早上 7:30 至 10:30
周一和周日休息
Tuesday - Saturday : 7:30 am - 10:30 pm
Monday and Sunday are closed.","周六 : 早上 8:00 至 12 :00
周日休息
Saturday : 8:00  am - 12:00 pm
Sunday is closed.","010-85157766
Chinese: 13910219930 (褚志敏 Chu Zhimin)
English: 13426245067 (齐旭 Qi Xu)",,英语/English,,,
"北京
Beijing","朝阳区
Chaoyang District",否 No,"体检机构
Wellness Checkup",体检 Checkup,"美年大健康太阳宫分院
Meinian Health Sun Palace Clinic",体检中心 Physical Checkup,"北京市朝阳区太阳宫半岛国际公寓12号楼底商
Building No.12, Sun Palace International Garden, Chaoyang District, Beijing","早上 8:00 至 10:30
8:00 am - 10:30 am","休息
Closed","021-22139213 (转 8308)
15000583416 (褚佳云)",,英语/English,,"1. 请您在预约时告知您是招商信诺会员，可享受招商信诺套餐。Please inform the hotline center/contact person that you are Cigna & CMB member when making appointment, so that you can enjoy Cigna & CMB package.
2.预约时间：周一至周日，中文预约早上7:30至晚上9:00，英文预约早上9:00至下午5:00。Appointment time: Monday to Sunday,7:30am to 9:00pm for Chinese service, 9:00am to 5:00pm for English service.
3. 中文服务请提前3天预约，英文服务请提前1周预约。For Chinese service, please make appointment three days in advance. For English service, please make appointment one week in advance.
自2018年7月1日起，低于或等于1000元套餐，不再免费提供英文报告。
From July 1st. 2018, the package is less than RMB1000 (include RMB1000), there will be no English report.
zhangxiuyuan.sh@meinian.cn",
"北京
Beijing","朝阳区
Chaoyang District",否 No,"私立医疗机构
Private Providers",门诊 OP/住院 IP,"北京美中宜和妇儿医院
AMCARE Women's & Children's Hospital","妇产科、儿科 OB/GYN, Pediatrics","北京市朝阳区芳园西路9号
9 West Fangyuan Road, Chaoyang District, Beijing","妇产科：早上 8:00 至 下午 4:30
儿科：早上 8:00 至 晚上 8:00
OB & GYN: 8:00 am - 4:30 pm
Pediatric: 8:00 am - 8:00 pm ","妇产科：早上 8:00 至 下午 4:30
儿科：早上 8:00 至 晚上 8:00
OB & GYN: 8:00 am - 4:30 pm
Pediatric: 8:00 am - 8:00 pm ",400-100-0016,,英语/English,"产科
Obstetrics","1.产科房间费只包含标准间。Room for Maternity covered up to their standard room.
2.急诊仅限产科，需提前电话联系（只针对在美中宜和就诊过的会员）。Emergency only available for OB (call in advance, only for the member who had consultation at AMCARE before).
3.盆底肌、乳腺门诊和中医相关治疗不作为可直付项目。Direct billing services for pelvic floor muscle, galactophore and TCM are not available.",
"北京
Beijing","朝阳区
Chaoyang District",否 No,"私立医疗机构
Private Providers",门诊 OP/住院 IP,"北京美中宜和亚运村院区
Beijing Amcare Women's and Children's Hospital  Yayuncun","妇产科、儿科 OB/GYN, Pediatrics","北京市朝阳区安慧北里逸园5号
5 Yiyuan Anhui North Street, Chaoyang District, Beijing","妇科 /儿科/内科：早上 8:00 至 下午 4:30产科：早上 8:00 至 下午4 :30  (急诊：下午 4:30 至 早上 8:00)
内分泌科：下午 2:00 至 4:00 ( 仅周二 )
Gynaecology/Paediatrics/Internal Medicine: 8:00 am - 4 :30 pm
OB: 8:00 am - 4 :30 pm (ER: 4:30 pm - 8:00 am)
Endocrinology Consultation: 2:00 pm - 4:00 pm (Tuesday only)","妇科 /儿科/内科：早上 8:00 至 下午 4:30
产科：早上 8:00 至 下午4 :30  (急诊：下午 4:30 至 早上 8:00)
Gynaecology/Paediatrics/Internal Medicine: 8:00 am - 4 :30 pm
OB: 8:00 am - 4 :30 pm (ER: 4:30 pm - 8:00 am)",400-100-0016,,英语/English,,"1.产科房间费只包含标准间。Room for Maternity covered up to their standard room.
2.急诊仅限产科，需提前电话联系（只针对在美中宜和就诊过的会员）。Emergency only available for OB (call in advance, only for the member who had consultation at AMCARE before).
3.盆底肌、乳腺门诊和中医相关治疗不作为可直付项目。Direct billing services for pelvic floor muscle, galactophore and TCM are not available.",
