city,district,special provider,provider type,name,specialties,address,mon-fri,sat-sun,appointment tel,foreign lang. service,appointment recommended,website,cn_address,lat,long
Suzhou,Industrial Park,No,Private,SingHealth Medical & Dental @ Rong An,"Dental Care, Internal Medicine, Pediatrics, General Medicine","Room 111, JingHope 360° Lifestyle Center, 18 Rong'an Street, Suzhou Industrial Park, Suzhou",10:00 am - 7:00 pm,9:00 am - 5:30 pm,"00-80-0955 Group
00-80-7553 Individual",Eng,"",,苏州市工业园区融安街18号晋合360°生活广场111室,31.31447,120.721132
Tianjin,Xiqing District,No,Public,"First Teaching Hospital of Tianjin University of Traditional Chinese Medicine South Branch, Guo Yi Tang (VIP Department)",Acupuncture,"4F, 88 Changling Road, Xiqing  District, Tianjin","8:00 am - 11:30 am, 2:00 pm - 5:00 pm",Saturday: 8:00 am - 11:30 am Sunday: Emergency,"00-80-0955 Group
00-80-7553 Individual","","",http://www.tjtcm.cn/,天津市西青区昌凌路88号4楼,39.049553,117.18353
Harbin,Nangang District,No,Public,First Teaching Hospital of Harbin Medical College,"","23 Youzheng Street, Nangang District, Harbin","8:00 am - 11:30 am, 1:30 pm - 4:30 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",http://www.54dr.org.cn/,哈尔滨市南岗区邮政街23号,45.767668,126.649419
Chongqing,Yuzhong District,No,Public,The First Affiliated Hospital of Chongqing Medical University,"Cardiovascular, Endocrinology, Neurology, Respiratory, Cardiothoracic Surgery, General Surgery, Ophthalmology, Otolaryngology, Comprehensive Cancer","1F, Building No.1, 1 Youyi Road, Yuanjiagang, Yuzhong District, Chongqing",7:30 am - 4:30 pm,Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.hospital-cqmu.com/,重庆市渝中区袁家岗友谊路1号1号楼1楼,29.530803,106.512588
Chongqing,Developing Economic District,No,Public,"The First Affiliated Hospital of Chongqing Medical University, Jin Shan Hospital",Gynecology，obstetrics,"39 Yuanyang Lake, Developing Economic District, Chongqing","8:00 am - 12:00 pm, 2:00 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,"",http://hospital-cqjs.com ,重庆市经济技术开发区鸳鸯湖39号,29.652797,106.548544
Beijing,Xicheng District,No,Wellness Checkup,Meinian Health Xuanwumen Clinic,Physical Checkup,"Room 301-302, 20 Xuanwumen Wai Street, Xicheng District, Beijing",8:00 am - 10:00 am,Saturday is closed. Sunday: 8:00 am - 10:00 am,"01-13913 ext. 8308
1500058316 ",Eng,Yes,,北京市西城区宣武门外大街20号3层301-302整层,39.894945,116.375239
Beijing,Dongcheng District,No,Wellness Checkup,Beijing MJ Wellness Center,Physical Checkup,"5F, Second East Office Building, Oriental Plaza, 1 East Chang'an Street, Dongcheng District, Beijing",Tuesday - Saturday : 7:30 am - 10:30 pm Monday and Sunday are closed.,Saturday : 8:00  am - 12:00 pm Sunday is closed.,"010-85157766
Chinese: 1391019930  Chu Zhimin
English: 1365067  Qi Xu",Eng,"",,北京市东城区东长安街1号东方广场东二办公楼5层,39.909665,116.415782
Beijing,Chaoyang District,No,Wellness Checkup,Meinian Health Sun Palace Clinic,Physical Checkup,"Building No.12, Sun Palace International Garden, Chaoyang District, Beijing",8:00 am - 10:30 am,Closed,"01-13913 ext. 8308
1500058316 ",Eng,Yes,,北京市朝阳区太阳宫半岛国际公寓12号楼底商,39.970557,116.451111
Beijing,Chaoyang District,No,Private,AMCARE Women's & Children's Hospital,"OB/GYN, Pediatrics","9 West Fangyuan Road, Chaoyang District, Beijing",OB & GYN: 8:00 am - 4:30 pm Pediatric: 8:00 am - 8:00 pm ,OB & GYN: 8:00 am - 4:30 pm Pediatric: 8:00 am - 8:00 pm ,00-100-0016,Eng,"",,北京市朝阳区芳园西路9号,39.972852,116.480767
Beijing,Chaoyang District,No,Private,Beijing Amcare Women's and Children's Hospital  Yayuncun,"OB/GYN, Pediatrics","5 Yiyuan Anhui North Street, Chaoyang District, Beijing",Gynaecology/Paediatrics/Internal Medicine: 8:00 am - 4 :30 pm OB: 8:00 am - 4 :30 pm (ER: 4:30 pm - 8:00 am) Endocrinology Consultation: 2:00 pm - 4:00 pm (Tuesday only),Gynaecology/Paediatrics/Internal Medicine: 8:00 am - 4 :30 pm OB: 8:00 am - 4 :30 pm (ER: 4:30 pm - 8:00 am),00-100-0016,Eng,"",,北京市朝阳区安慧北里逸园5号,40.000938,116.415313
Beijing,Xicheng District,No,Public,"Beijing Massage Hospital, VIP Department","TCM treatment, TCM physiotherapy","7 Baochan Road, Xicheng District, Beijing","7:30 am - 11:45 am, 1:30 pm - 6:00 pm, 7:00 pm – 10:00 pm","7:30 am - 11:45 am, 1:30 pm - 6:00 pm, 7:00 pm – 9:00 pm","010-66163116
010-6616116 ext. 800
00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.massage-hospital.com/,北京市西城区宝产胡同7号,39.934939,116.372067
Beijing,Shunyi District,No,Public,Beijing Airport Hospital,"Endocrinology, Ophthalmology, Urology","49 Shuangyu Street, Houshayu Town, Shunyi District, Beijing","8:00 am - 11:30 am, 2:00 pm - 5:30 pm 8:00 am - 11:30 am, 1:30 pm - 5:00 pm","8:00 am - 11:30 am, 2:00 pm - 5:30 pm 8:00 am - 11:30 am, 1:30 pm - 5:00 pm","00-80-0955 Group
00-80-7553 Individual","","",,北京市顺义区后沙峪镇双裕街49号(近后沙峪政府),40.106737,116.543586
Beijing,Haidian District,No,Public,The Sixth Medical Center of PLA General Hospirtal VIP Department,"ENT, Lumbar Disc Disease, Sarcoidosis, Optometry Diseases, Neurological Diseases, Nuclear Medicine, Orthopedics, Respiratory Medicine, Cardiology, Ophthalmology","6 Fucheng Road, Haidian District, Beijing","8:00 am - 11:00 am, 2:00 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",http://www.hjzyy.com.cn/,北京市海淀区阜成路6号,39.923815,116.325144
Beijing,Haidian District,No,Public,"Peking University Third Hospital, Consultation Center","Sport Medicine, Orthopedic, Gastroenterology, Respiratory Medicine, Ophthalmology","8F OP Building, 49 North Huayuan Road, Haidian District, Beijing","8:00 am - 11:30 am, 1:30 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.puh3.net.cn/wap,北京市海淀区花园北路49号门诊楼8层,39.983807,116.363976
Beijing,Dongcheng District,No,Public,Beijing Hospital,"Cardiovascular, TCM, Neurology, Respiratory","1 Dahua Road, Dongdan, Dongcheng District, Beijing","8:00 am -11:30 am, 13:30 pm - 4:00 pm ",Closed,"00-80-0955 Group
00-80-7553 Individual","","",http://wap.bjhmoh.cn/,北京市东城区东单大华路1号,39.903806,116.415069
